Rk,Team,G,MP,PTS
1,Indiana Pacers*,82,240.3,104.7
2,Miami Heat,82,240.6,105.9
3,Memphis Grizzlies,82,242.4,106.1
4,Utah Jazz*,82,240.9,106.5
5,Orlando Magic*,82,241.2,106.6
6,Denver Nuggets*,82,240.6,106.7
7,Detroit Pistons*,82,242.1,107.3
8,Boston Celtics*,82,241.2,108.0
9,Toronto Raptors*,82,242.4,108.4
10,Houston Rockets*,82,241.8,109.1
11,Milwaukee Bucks*,82,241.2,109.3
12,San Antonio Spurs*,82,241.5,110.0
13,Dallas Mavericks,82,241.2,110.1
14,Portland Trail Blazers*,82,242.1,110.5
15,Oklahoma City Thunder*,82,242.1,111.1
16,Golden State Warriors*,82,241.5,111.2
17,Charlotte Hornets,82,241.8,111.8
18,Brooklyn Nets*,82,243.7,112.3
19,Philadelphia 76ers*,82,241.5,112.5
20,Chicago Bulls,82,242.7,113.4
21,Los Angeles Lakers,82,241.2,113.5
22,New York Knicks,82,241.2,113.8
23,Minnesota Timberwolves,82,241.8,114.0
24,Cleveland Cavaliers,82,240.9,114.1
25,Los Angeles Clippers*,82,241.8,114.3
26,Sacramento Kings,82,240.6,115.3
27,New Orleans Pelicans,82,240.9,116.8
28,Phoenix Suns,82,242.4,116.8
29,Washington Wizards,82,243.0,116.9
30,Atlanta Hawks,82,242.1,119.4
