Rk,Team,G,MP,PTS
1,Toronto Raptors*,72,241.4,106.5
2,Boston Celtics*,72,242.1,107.3
3,Indiana Pacers*,73,241.4,107.5
4,Los Angeles Lakers*,71,240.7,107.6
5,Orlando Magic*,73,240.7,108.3
6,Philadelphia 76ers*,73,241.0,108.4
7,Oklahoma City Thunder*,72,242.1,108.4
8,Milwaukee Bucks*,73,241.0,108.6
9,Utah Jazz*,72,241.0,108.8
10,Miami Heat*,73,243.1,109.1
11,Denver Nuggets*,73,243.1,109.2
12,Charlotte Hornets,65,242.3,109.6
13,Los Angeles Clippers*,72,241.4,109.9
14,Chicago Bulls,65,241.2,109.9
15,Detroit Pistons,66,241.9,110.8
16,Sacramento Kings,72,242.4,112.1
17,Dallas Mavericks*,75,242.3,112.1
18,Brooklyn Nets*,72,242.8,112.3
19,New York Knicks,66,241.9,112.3
20,Phoenix Suns,73,241.0,113.4
21,Memphis Grizzlies,73,240.7,113.7
22,Houston Rockets*,72,241.4,114.8
23,Cleveland Cavaliers,65,241.9,114.8
24,Golden State Warriors,65,241.9,115.0
25,San Antonio Spurs,71,242.5,115.2
26,Portland Trail Blazers*,74,241.0,116.1
27,New Orleans Pelicans,72,242.1,117.1
28,Minnesota Timberwolves,64,243.1,117.5
29,Washington Wizards,72,241.0,119.1
30,Atlanta Hawks,67,243.0,119.7
