Rk,Team,G,MP,PTS
1,Golden State Warriors*,82,240.6,110.0
2,Los Angeles Clippers*,82,240.6,106.7
3,Dallas Mavericks*,82,242.4,105.2
4,Oklahoma City Thunder,82,241.8,104.0
5,Toronto Raptors*,82,242.1,104.0
6,Houston Rockets*,82,241.5,103.9
7,San Antonio Spurs*,82,243.4,103.2
8,Cleveland Cavaliers*,82,241.2,103.1
9,Portland Trail Blazers*,82,242.1,102.8
10,Atlanta Hawks*,82,240.6,102.5
11,Phoenix Suns,82,242.4,102.4
12,Denver Nuggets,82,242.4,101.5
13,Boston Celtics*,82,242.4,101.4
14,Sacramento Kings,82,242.1,101.3
15,Chicago Bulls*,82,242.4,100.8
16,New Orleans Pelicans*,82,241.2,99.4
17,Washington Wizards*,82,243.4,98.5
18,Los Angeles Lakers,82,243.0,98.5
19,Detroit Pistons,82,241.8,98.5
20,Memphis Grizzlies*,82,242.7,98.3
21,Brooklyn Nets*,82,243.0,98.0
22,Minnesota Timberwolves,82,241.5,97.8
23,Milwaukee Bucks*,82,243.0,97.8
24,Indiana Pacers,82,242.1,97.3
25,Orlando Magic,82,240.9,95.7
26,Utah Jazz,82,240.3,95.1
27,Miami Heat,82,240.6,94.7
28,Charlotte Hornets,82,242.7,94.2
29,Philadelphia 76ers,82,241.5,92.0
30,New York Knicks,82,242.1,91.9
