Rk,Team,G,MP,PTS
1,Golden State Warriors*,82,240.6,113.5
2,Houston Rockets*,82,240.9,112.4
3,New Orleans Pelicans*,82,243.4,111.7
4,Toronto Raptors*,82,241.8,111.7
5,Cleveland Cavaliers*,82,240.6,110.9
6,Denver Nuggets,82,242.4,110.0
7,Philadelphia 76ers*,82,241.2,109.8
8,Minnesota Timberwolves*,82,241.5,109.5
9,Los Angeles Clippers,82,240.3,109.0
10,Charlotte Hornets,82,241.2,108.2
11,Los Angeles Lakers,82,242.7,108.1
12,Oklahoma City Thunder*,82,241.8,107.9
13,Washington Wizards*,82,242.1,106.6
14,Brooklyn Nets,82,242.1,106.6
15,Milwaukee Bucks*,82,241.8,106.5
16,Indiana Pacers*,82,240.9,105.6
17,Portland Trail Blazers*,82,240.9,105.6
18,New York Knicks,82,241.8,104.5
19,Utah Jazz*,82,240.9,104.1
20,Boston Celtics*,82,241.5,104.0
21,Phoenix Suns,82,240.3,103.9
22,Detroit Pistons,82,241.5,103.8
23,Miami Heat*,82,243.0,103.4
24,Orlando Magic,82,240.6,103.4
25,Atlanta Hawks,82,240.3,103.4
26,Chicago Bulls,82,242.1,102.9
27,San Antonio Spurs*,82,240.6,102.7
28,Dallas Mavericks,82,241.5,102.3
29,Memphis Grizzlies,82,240.3,99.3
30,Sacramento Kings,82,240.9,98.8
