Rk,Team,G,MP,PTS
1,San Antonio Spurs*,82,240.3,92.9
2,Utah Jazz,82,243.4,95.9
3,Toronto Raptors*,82,241.2,98.2
4,Cleveland Cavaliers*,82,242.1,98.3
5,Miami Heat*,82,241.8,98.4
6,Atlanta Hawks*,82,241.8,99.2
7,Los Angeles Clippers*,82,241.8,100.2
8,Indiana Pacers*,82,242.4,100.5
9,Charlotte Hornets*,82,242.1,100.7
10,New York Knicks,82,241.5,101.1
11,Memphis Grizzlies*,82,241.8,101.3
12,Detroit Pistons*,82,242.4,101.4
13,Boston Celtics*,82,241.2,102.5
14,Dallas Mavericks*,82,244.0,102.6
15,Oklahoma City Thunder*,82,241.8,102.9
16,Chicago Bulls,82,242.7,103.1
17,Milwaukee Bucks,82,241.8,103.2
18,Orlando Magic,82,242.7,103.7
19,Golden State Warriors*,82,242.4,104.1
20,Portland Trail Blazers*,82,241.5,104.3
21,Washington Wizards,82,240.9,104.6
22,Denver Nuggets,82,241.8,105.0
23,Minnesota Timberwolves,82,242.4,106.0
24,Brooklyn Nets,82,240.9,106.0
25,Houston Rockets*,82,241.8,106.4
26,New Orleans Pelicans,82,241.2,106.5
27,Los Angeles Lakers,82,240.6,106.9
28,Phoenix Suns,82,240.3,107.5
29,Philadelphia 76ers,82,241.5,107.6
30,Sacramento Kings,82,241.5,109.1
