Rk,Team,G,MP,PTS
1,Milwaukee Bucks*,73,241.0,118.7
2,Houston Rockets*,72,241.4,117.8
3,Dallas Mavericks*,75,242.3,117.0
4,Los Angeles Clippers*,72,241.4,116.3
5,New Orleans Pelicans,72,242.1,115.8
6,Portland Trail Blazers*,74,241.0,115.0
7,Washington Wizards,72,241.0,114.4
8,San Antonio Spurs,71,242.5,114.1
9,Boston Celtics*,72,242.1,113.7
10,Phoenix Suns,73,241.0,113.6
11,Los Angeles Lakers*,71,240.7,113.4
12,Minnesota Timberwolves,64,243.1,113.3
13,Toronto Raptors*,72,241.4,112.8
14,Memphis Grizzlies,73,240.7,112.6
15,Miami Heat*,73,243.1,112.0
16,Atlanta Hawks,67,243.0,111.8
17,Brooklyn Nets*,72,242.8,111.8
18,Denver Nuggets*,73,243.1,111.3
19,Utah Jazz*,72,241.0,111.3
20,Philadelphia 76ers*,73,241.0,110.7
21,Oklahoma City Thunder*,72,242.1,110.4
22,Sacramento Kings,72,242.4,110.1
23,Indiana Pacers*,73,241.4,109.4
24,Orlando Magic*,73,240.7,107.3
25,Detroit Pistons,66,241.9,107.2
26,Cleveland Cavaliers,65,241.9,106.9
27,Chicago Bulls,65,241.2,106.8
28,Golden State Warriors,65,241.9,106.3
29,New York Knicks,66,241.9,105.8
30,Charlotte Hornets,65,242.3,102.9
