Rk,Team,G,MP,PTS
1,Boston Celtics,82,242.7,104.5
2,Dallas Mavericks,82,240.9,104.7
3,Golden State Warriors,82,240.6,105.5
4,Miami Heat,82,242.1,105.6
5,Cleveland Cavaliers,82,240.6,105.7
6,New York Knicks,82,241.2,106.6
7,Toronto Raptors,82,242.1,107.1
8,Phoenix Suns,82,240.6,107.3
9,Philadelphia 76ers,82,241.5,107.3
10,Utah Jazz,82,240.6,107.6
11,Los Angeles Clippers,82,241.2,108.4
12,Memphis Grizzlies,82,241.2,109.9
13,New Orleans Pelicans,82,240.9,110.3
14,Denver Nuggets,82,241.5,110.4
15,Oklahoma City Thunder,82,241.5,111.8
16,Washington Wizards,82,241.8,112.0
17,Chicago Bulls,82,240.6,112.0
18,Milwaukee Bucks,82,240.9,112.1
19,Brooklyn Nets,82,240.9,112.1
20,Orlando Magic,82,241.2,112.2
21,Atlanta Hawks,82,240.3,112.4
22,Detroit Pistons,82,241.2,112.5
23,San Antonio Spurs,82,241.5,113.0
24,Minnesota Timberwolves,82,241.2,113.3
25,Indiana Pacers,82,242.4,114.9
26,Charlotte Hornets,82,242.4,114.9
27,Los Angeles Lakers,82,243.7,115.1
28,Portland Trail Blazers,82,240.6,115.1
29,Sacramento Kings,82,241.5,115.8
30,Houston Rockets,82,240.9,118.2

