Rk,Team,G,MP,PTS
1,Minnesota Timberwolves,82,241.2,115.9
2,Memphis Grizzlies,82,241.2,115.6
3,Milwaukee Bucks,82,240.9,115.5
4,Charlotte Hornets,82,242.4,115.3
5,Phoenix Suns,82,240.6,114.8
6,Atlanta Hawks,82,240.3,113.9
7,Utah Jazz,82,240.6,113.6
8,San Antonio Spurs,82,241.5,113.2
9,Brooklyn Nets,82,240.9,112.9
10,Denver Nuggets,82,241.5,112.7
11,Los Angeles Lakers,82,243.7,112.1
12,Boston Celtics,82,242.7,111.8
13,Chicago Bulls,82,240.6,111.6
14,Indiana Pacers,82,242.4,111.5
15,Golden State Warriors,82,240.6,111.0
16,Sacramento Kings,82,241.5,110.3
17,Miami Heat,82,242.1,110.0
18,Philadelphia 76ers,82,241.5,109.9
19,Houston Rockets,82,240.9,109.7
20,Toronto Raptors,82,242.1,109.4
21,New Orleans Pelicans,82,240.9,109.3
22,Washington Wizards,82,241.8,108.6
23,Los Angeles Clippers,82,241.2,108.4
24,Dallas Mavericks,82,240.9,108.0
25,Cleveland Cavaliers,82,240.6,107.8
26,New York Knicks,82,241.2,106.5
27,Portland Trail Blazers,82,240.6,106.2
28,Detroit Pistons,82,241.2,104.8
29,Orlando Magic,82,241.2,104.2
30,Oklahoma City Thunder,82,241.5,103.7
