Rk,Team,G,MP,PTS
1,Chicago Bulls*,82,243.0,91.8
2,Indiana Pacers*,82,241.2,92.3
3,Memphis Grizzlies*,82,241.5,94.6
4,Charlotte Bobcats*,82,242.7,97.1
5,Miami Heat*,82,242.4,97.4
6,San Antonio Spurs*,82,240.9,97.6
7,Toronto Raptors*,82,243.4,98.0
8,Washington Wizards*,82,244.6,99.4
9,New York Knicks,82,242.1,99.4
10,Brooklyn Nets*,82,242.4,99.5
11,Golden State Warriors*,82,241.8,99.5
12,Oklahoma City Thunder*,82,241.5,99.8
13,Boston Celtics,82,240.6,100.7
14,Los Angeles Clippers*,82,240.9,101.0
15,Cleveland Cavaliers,82,243.0,101.5
16,Atlanta Hawks*,82,241.8,101.5
17,Orlando Magic,82,243.4,102.0
18,Utah Jazz,82,241.2,102.2
19,New Orleans Pelicans,82,242.1,102.4
20,Dallas Mavericks*,82,241.8,102.4
21,Phoenix Suns,82,240.9,102.6
22,Portland Trail Blazers*,82,242.1,102.8
23,Houston Rockets*,82,241.8,103.1
24,Sacramento Kings,82,241.8,103.4
25,Milwaukee Bucks,82,242.4,103.7
26,Minnesota Timberwolves,82,242.1,104.3
27,Detroit Pistons,82,241.2,104.7
28,Denver Nuggets,82,240.9,106.5
29,Los Angeles Lakers,82,240.3,109.2
30,Philadelphia 76ers,82,242.1,109.9
