Rk,Team,G,MP,PTS
1,Golden State Warriors*,82,242.4,114.9
2,Oklahoma City Thunder*,82,241.8,110.2
3,Sacramento Kings,82,241.5,106.6
4,Houston Rockets*,82,241.8,106.5
5,Boston Celtics*,82,241.2,105.7
6,Portland Trail Blazers*,82,241.5,105.1
7,Los Angeles Clippers*,82,241.8,104.5
8,Cleveland Cavaliers*,82,242.1,104.3
9,Washington Wizards,82,240.9,104.1
10,San Antonio Spurs*,82,240.3,103.5
11,Charlotte Hornets*,82,242.1,103.4
12,Atlanta Hawks*,82,241.8,102.8
13,Toronto Raptors*,82,241.2,102.7
14,New Orleans Pelicans,82,241.2,102.7
15,Minnesota Timberwolves,82,242.4,102.4
16,Dallas Mavericks*,82,244.0,102.3
17,Indiana Pacers*,82,242.4,102.2
18,Orlando Magic,82,242.7,102.1
19,Detroit Pistons*,82,242.4,102.0
20,Denver Nuggets,82,241.8,101.9
21,Chicago Bulls,82,242.7,101.6
22,Phoenix Suns,82,240.3,100.9
23,Miami Heat*,82,241.8,100.0
24,Memphis Grizzlies*,82,241.8,99.1
25,Milwaukee Bucks,82,241.8,99.0
26,Brooklyn Nets,82,240.9,98.6
27,New York Knicks,82,241.5,98.4
28,Utah Jazz,82,243.4,97.7
29,Philadelphia 76ers,82,241.5,97.4
30,Los Angeles Lakers,82,240.6,97.3
