Rk,Team,G,MP,PTS
1,Golden State Warriors*,82,241.2,115.9
2,Houston Rockets*,82,241.2,115.3
3,Denver Nuggets,82,240.9,111.7
4,Cleveland Cavaliers*,82,242.4,110.3
5,Washington Wizards*,82,242.1,109.2
6,Los Angeles Clippers*,82,240.9,108.7
7,Boston Celtics*,82,240.9,108.0
8,Portland Trail Blazers*,82,243.0,107.9
9,Phoenix Suns,82,241.8,107.7
10,Toronto Raptors*,82,241.2,106.9
11,Oklahoma City Thunder*,82,241.5,106.6
12,Brooklyn Nets,82,240.9,105.8
13,Minnesota Timberwolves,82,241.5,105.6
14,San Antonio Spurs*,82,241.5,105.3
15,Indiana Pacers*,82,242.1,105.1
16,Charlotte Hornets,82,241.8,104.9
17,Los Angeles Lakers,82,240.3,104.6
18,New Orleans Pelicans,82,242.7,104.3
19,New York Knicks,82,242.1,104.3
20,Milwaukee Bucks*,82,241.2,103.6
21,Atlanta Hawks*,82,242.4,103.2
22,Miami Heat,82,241.2,103.2
23,Chicago Bulls*,82,241.2,102.9
24,Sacramento Kings,82,242.4,102.8
25,Philadelphia 76ers,82,241.8,102.4
26,Detroit Pistons,82,241.5,101.3
27,Orlando Magic,82,241.5,101.1
28,Utah Jazz*,82,240.9,100.7
29,Memphis Grizzlies*,82,242.7,100.5
30,Dallas Mavericks,82,241.2,97.9
