Rk,Team,G,MP,PTS
1,Milwaukee Bucks*,72,240.7,120.1
2,Brooklyn Nets*,72,241.7,118.6
3,Washington Wizards*,72,241.7,116.6
4,Utah Jazz*,72,241.0,116.4
5,Portland Trail Blazers*,72,240.3,116.1
6,Phoenix Suns*,72,242.8,115.3
7,Indiana Pacers,72,242.4,115.3
8,Denver Nuggets*,72,242.8,115.1
9,New Orleans Pelicans,72,242.1,114.6
10,Los Angeles Clippers*,72,240.0,114.0
11,Atlanta Hawks*,72,241.7,113.7
12,Sacramento Kings,72,240.3,113.7
13,Golden State Warriors,72,240.3,113.7
14,Philadelphia 76ers*,72,242.1,113.6
15,Memphis Grizzlies*,72,241.7,113.3
16,Boston Celtics*,72,241.4,112.6
17,Dallas Mavericks*,72,240.3,112.4
18,Minnesota Timberwolves,72,241.7,112.1
19,Toronto Raptors,72,240.3,111.3
20,San Antonio Spurs,72,242.8,111.1
21,Chicago Bulls,72,241.4,110.7
22,Los Angeles Lakers*,72,242.4,109.5
23,Charlotte Hornets,72,241.0,109.5
24,Houston Rockets,72,240.3,108.8
25,Miami Heat*,72,241.4,108.1
26,New York Knicks*,72,242.1,107.0
27,Detroit Pistons,72,242.1,106.6
28,Oklahoma City Thunder,72,241.0,105.0
29,Orlando Magic,72,240.7,104.0
30,Cleveland Cavaliers,72,242.1,103.8
