Rk,Team,G,MP,PTS
1,Sacramento Kings,82,241.8,120.7
2,Golden State Warriors,82,241.8,118.9
3,Atlanta Hawks,82,242.1,118.4
4,Boston Celtics,82,243.7,117.9
5,Oklahoma City Thunder,82,242.1,117.5
6,Los Angeles Lakers,82,242.4,117.2
7,Utah Jazz,82,241.5,117.1
8,Memphis Grizzlies,82,241.2,116.9
9,Milwaukee Bucks,82,241.8,116.9
10,Indiana Pacers,82,240.9,116.3
11,New York Knicks,82,243.4,116.0
12,Denver Nuggets,82,240.9,115.8
13,Minnesota Timberwolves,82,241.8,115.8
14,Philadelphia 76ers,82,242.4,115.2
15,New Orleans Pelicans,82,242.1,114.4
16,Dallas Mavericks,82,243.0,114.2
17,Phoenix Suns,82,241.2,113.6
18,Los Angeles Clippers,82,241.8,113.6
19,Portland Trail Blazers,82,240.6,113.4
20,Brooklyn Nets,82,240.6,113.4
21,Washington Wizards,82,240.9,113.2
22,Chicago Bulls,82,242.7,113.1
23,San Antonio Spurs,82,242.1,113.0
24,Toronto Raptors,82,241.5,112.9
25,Cleveland Cavaliers,82,242.4,112.3
26,Orlando Magic,82,241.2,111.4
27,Charlotte Hornets,82,241.8,111.0
28,Houston Rockets,82,240.9,110.7
29,Detroit Pistons,82,241.5,110.3
30,Miami Heat,82,241.5,109.5

