Rk,Team,G,MP,PTS
1,New York Knicks*,72,242.1,104.7
2,Los Angeles Lakers*,72,242.4,106.8
3,Utah Jazz*,72,241.0,107.2
4,Los Angeles Clippers*,72,240.0,107.8
5,Miami Heat*,72,241.4,108.0
6,Philadelphia 76ers*,72,242.1,108.1
7,Phoenix Suns*,72,242.8,109.5
8,Denver Nuggets*,72,242.8,110.1
9,Dallas Mavericks*,72,240.3,110.2
10,Detroit Pistons,72,242.1,111.1
11,Boston Celtics*,72,241.4,111.2
12,Atlanta Hawks*,72,241.7,111.4
13,Charlotte Hornets,72,241.0,111.4
14,Chicago Bulls,72,241.4,111.6
15,Toronto Raptors,72,240.3,111.7
16,Memphis Grizzlies*,72,241.7,112.3
17,Cleveland Cavaliers,72,242.1,112.3
18,Golden State Warriors,72,240.3,112.7
19,San Antonio Spurs,72,242.8,112.8
20,Orlando Magic,72,240.7,113.3
21,Brooklyn Nets*,72,241.7,114.1
22,Milwaukee Bucks*,72,240.7,114.2
23,Portland Trail Blazers*,72,240.3,114.3
24,New Orleans Pelicans,72,242.1,114.9
25,Indiana Pacers,72,242.4,115.3
26,Oklahoma City Thunder,72,241.0,115.6
27,Houston Rockets,72,240.3,116.7
28,Sacramento Kings,72,240.3,117.4
29,Minnesota Timberwolves,72,241.7,117.7
30,Washington Wizards*,72,241.7,118.5
