Rk,Team,G,MP,PTS
1,Utah Jazz,82,240.3,94.9
2,Memphis Grizzlies*,82,242.7,95.1
3,San Antonio Spurs*,82,243.4,97.0
4,Indiana Pacers,82,242.1,97.0
5,Atlanta Hawks*,82,240.6,97.1
6,Charlotte Hornets,82,242.7,97.3
7,Miami Heat,82,240.6,97.3
8,Milwaukee Bucks*,82,243.0,97.4
9,Washington Wizards*,82,243.4,97.8
10,Chicago Bulls*,82,242.4,97.8
11,New Orleans Pelicans*,82,241.2,98.6
12,Portland Trail Blazers*,82,242.1,98.6
13,Cleveland Cavaliers*,82,241.2,98.7
14,Detroit Pistons,82,241.8,99.5
15,Golden State Warriors*,82,240.6,99.9
16,Los Angeles Clippers*,82,240.6,100.1
17,Houston Rockets*,82,241.5,100.5
18,Brooklyn Nets*,82,243.0,100.9
19,Toronto Raptors*,82,242.1,100.9
20,Philadelphia 76ers,82,241.5,101.0
21,Boston Celtics*,82,242.4,101.2
22,New York Knicks,82,242.1,101.2
23,Orlando Magic,82,240.9,101.4
24,Oklahoma City Thunder,82,241.8,101.8
25,Dallas Mavericks*,82,242.4,102.3
26,Phoenix Suns,82,242.4,103.3
27,Sacramento Kings,82,242.1,105.0
28,Denver Nuggets,82,242.4,105.0
29,Los Angeles Lakers,82,243.0,105.3
30,Minnesota Timberwolves,82,241.5,106.5
