Rk,Team,G,MP,PTS
1,Milwaukee Bucks*,82,241.2,118.1
2,Golden State Warriors*,82,241.5,117.7
3,New Orleans Pelicans,82,240.9,115.4
4,Philadelphia 76ers*,82,241.5,115.2
5,Los Angeles Clippers*,82,241.8,115.1
6,Portland Trail Blazers*,82,242.1,114.7
7,Oklahoma City Thunder*,82,242.1,114.5
8,Toronto Raptors*,82,242.4,114.4
9,Sacramento Kings,82,240.6,114.2
10,Washington Wizards,82,243.0,114.0
11,Houston Rockets*,82,241.8,113.9
12,Atlanta Hawks,82,242.1,113.3
13,Minnesota Timberwolves,82,241.8,112.5
14,Boston Celtics*,82,241.2,112.4
15,Brooklyn Nets*,82,243.7,112.2
16,Los Angeles Lakers,82,241.2,111.8
17,San Antonio Spurs*,82,241.5,111.7
18,Utah Jazz*,82,240.9,111.7
19,Denver Nuggets*,82,240.6,110.7
20,Charlotte Hornets,82,241.8,110.7
21,Dallas Mavericks,82,241.2,108.9
22,Indiana Pacers*,82,240.3,108.0
23,Phoenix Suns,82,242.4,107.5
24,Orlando Magic*,82,241.2,107.3
25,Detroit Pistons*,82,242.1,107.0
26,Miami Heat,82,240.6,105.7
27,Chicago Bulls,82,242.7,104.9
28,New York Knicks,82,241.2,104.6
29,Cleveland Cavaliers,82,240.9,104.5
30,Memphis Grizzlies,82,242.4,103.5
